Symbol,Description
CTF.UN,Citadel Income Fund
CTX,Crescita Therapeutics Inc
CU,Canadian Utilities Ltd Cl.A Nv
CU.PR.C,Canadian Utilities Limited Pref Ser C
CU.PR.D,Canadian Utilities Ltd Pr Series Aa
CU.PR.E,Canadian Utilities Ltd Pref Ser Bb
CU.PR.F,Canadian Utilities Ltd Pref Ser CC
CU.PR.G,Canadian Utilities Ltd Pref Ser Dd
CU.PR.H,Canadian Utilities Ltd Pref Ser Ee
CU.PR.I,Canadian Utilities Ltd Pref Ser Ff
CU.X,CDN Util Cl B
CUD,Ishares S&P US Div Growers ETF
CUF.UN,Cominar R E Un
CUP.U,Caribbean Util US
CVD,Ishares Convertible Bond Index ETF
CVE,Cenovus Energy Inc
CVG,Clairvest Group
CWB,CDN Western Bank
CWB.PR.B,Canadian Western Bank Pref Ser 5
CWB.PR.C,Canadian Western Bank Pref Ser 7
CWI,Crosswinds Holdings Inc
CWL,Caldwell Partners International Inc
CWW,Ishares S&P Global Water ETF
CWX,Canwel Building Materials Group Ltd
CWX.NT.A,Canwel Build Materials 6.375 Pct Notes
CXF,First Asset CDN Convert Bond ETF
CXI,Currency Exchange International Corp
CXN,Chalice Gold Mines Limited
CXR,Concordia International Corp
CXR.U,Concordia International Corp USD
CYB,Cymbria Corporation Cl A
CYBR,Evolve Cyber Security Index Hgd ETF
CYBR.B,Evolve Cyber Security Index Uh ETF
CYH,Ishares Global Monthly Dividend ETF
D.UN,Dream Office REIT
DBO,Dbox Technologies Inc
DC.A,Dundee Corp Cl.A Sv
DC.PR.B,Dundee Corp First Pref Ser 2
DC.PR.D,Dundee Corp Pref Ser 3
DC.PR.E,Dundee Corp First Pref Shares Series 5
DC.WT,Dundee Corp Class A Wts
DCC,Desjardins 1To5 Yr Lad CDN Corp Bd ETF
DCD.UN,First Asset Diversified Conv. Deb. Fund
DCF,Difference Capital Financial Inc
DCG,Desjardins 1To5 Yr Lad CDN Govt Bd ETF
DCM,Data Communications Mgmt Corp
DCP,Desjardins CDN Pref Share ETF
DCS,Desjardins CDN Short Term Bd ETF
DCU,Desjardins CDN Universe Bond Index ETF
DEE,Delphi Energy Corp
DEE.NT,Delphi Energy Corp 10 Pct Notes
DEE.WT,Delphi Energy Corp Wts
DF,Dividend 15 Split Corp II
DF.PR.A,Dividend 15 Split Corp II Prf
DFC,Desjardins Cda Multifactor Ctrl Vol ETF
DFD,Desjardins Dev Xus Xcda Mltifact Vol ETF
DFE,Desjardins EM Multifactor-Controlled Volatility
DFN,Dividend 15 Split Corp
DFN.PR.A,Dividend 15 Split Corp
DFU,Desjardins USA Multifactor Ctrl Vol ETF
DGC,Detour Gold Corp
DGR,Wisdomtree US Qlty Div Gwth ETF
DGR.B,Wisdomtree US Qlty Div Gwth ETF Nh
DGRC,Wisdomtree CDN Quality Div Grth Idx ETF
DGS,Dividend Growth Split Corp Class A
DGS.PR.A,Dividend Growth Split Corp Pref
DHX,Dhx Media Ltd
DHX.DB,Dhx Media Ltd 5.875 Pct Debs
DIAM,Star Diamond Corp
DII.A,Dorel Industries Inc Cl.A Mv
DII.B,Dorel Industries Inc Cl.B Sv
DII.DB.U,Dorel Industries Inc 5.50 Pct Debs USD
DIR.UN,Dream Industrial REIT
DISC,BMO Glb Consumer Disc Hgd To CAD ETF
DIV,Diversified Royalty Corp
DIV.DB,Diversified Royalty Corp 5.25 Pct Debs
DIVS,Evolve Active CDN Pref Share ETF
DLR,Horizons US Dollar Currency ETF
DLR.U,Horizons US Dollar Currency ETF USD
DML,Denison Mines Corp
DNG,Dynacor Gold Mines Inc
DNT,Candente Copper Corp
DOL,Dollarama Inc
DOO,Brp Inc
DPM,Dundee Precious Metals Inc
DQD,Wisdomtree US Qlty Div Gwth Var Hgd ETF
DQI,Wisdomtree Intl Qlty Div Gwth Var Hgd
DR,Medical Facilities Corp
DR.DB.A,Medical Facilities Corp 5.90 Pct Debs
DRA.UN,Dream Hard Asset Alternatives Trust
DRCU,Desjardins Ri Active Canadian Bond-Low C
DRG.UN,Dream Global REIT
DRM,Dream Unlimited Corp
DRM.PR.A,Dream Unlimited Corp Pref Ser 1
DRMC,Desjardins Ri Canada-Low Co2 Index ETF
DRMU,Desjardins Ri USA Low Co2 Index ETF
DRT,Dirtt Environmental Solutions Ltd
DRX,Adf Group Inc Sv
DS,Dividend Select 15 Corp
DSG,Descartes Sys
DSL.UN,Doubleline Income Solutions Trust Units
DW,Datawind Inc
DXB,Dynamic Ishares Act Tactical Bond ETF
DXC,Dyn Ishares Active CDN Div ETF
DXF,Dynamic Ishares Act Global Fin Ser ETF
DXG,Dyn Ishares Active Global Div ETF
DXI,Dxi Energy Inc
DXM,F A Morningstar Cda Div Tgt 30 ETF
DXO,Dyn Ishares Act Crossover Bond ETF
DXP,Dyn Ishares Active Pref Shares ETF
DXU,Dyn Ishares Active US Div ETF
DXV,Dyn Ishares Act Inv Grd Flot Rt ETF
E,Enterprise Group Inc
EBC.UN,Europe Blue Chip Div and Growth Fund
ECA,Encana Corp
ECF.UN,East Coast Invest Grade Income Fd
ECN,Ecn Capital Corp
ECN.PR.A,Ecn Capital Corp Pref Ser A
ECN.PR.C,Ecn Capital Corp Pref Ser C
ECO,Ecosynthetix Inc
ECS,Ecobalt Solutions Inc
ECS.WT,Ecobalt Solutions Inc Wts
EDGE,Evolve Innovation Index ETF
EDGF.UN,European Dividend Growth Fund
EDR,Endeavour Silver Corp
EDT,Spectral Medical Inc
EDV,Endeavour Mining Corp
EF.UN,European Focused Dividend Fund
EFH,Echelon Financial Holdings Inc
