Date,SP500
2012-02-01,1.0
2012-02-29,0.9937547932436817
2012-03-30,1.017139380178022
2012-04-30,1.0349185707304596
2012-05-31,1.075834696697467
2012-06-29,1.1145070403654227
2012-07-31,1.1189122783932233
2012-08-31,1.0914920321603352
2012-09-28,1.1031190630949976
2012-10-31,1.1041249006736944
2012-11-30,1.0998197614259315
2012-12-31,1.0716195790455634
2013-01-31,1.0811162824651475
2013-02-28,1.1173393328893095
2013-03-28,1.1576662268441154
2013-04-30,1.1868343453625096
2013-05-31,1.1260267905626544
2013-06-28,1.1415619733104645
2013-07-31,1.1583464356720046
2013-08-30,1.1263866792314796
2013-09-30,1.1237675573954484
2013-10-31,1.159701251198756
2013-11-29,1.1532542634165865
2013-12-31,1.1463862604239738
2014-01-31,1.1351878485461344
2014-02-28,1.1545505746735418
2014-03-31,1.1616865935468086
2014-04-30,1.1737475982131982
2014-05-30,1.176452135716085
2014-06-30,1.173016952230468
2014-07-31,1.1543062856202448
2014-08-29,1.1864604069212088
2014-09-30,1.192695369284519
2014-10-31,1.2322425123605014
2014-11-28,1.228238368940835
2014-12-31,1.2392960678653393
2015-01-30,1.2812423041402365
2015-02-27,1.2502376087375577
2015-03-31,1.2695632124548994
2015-04-30,1.2260747828522325
2015-05-29,1.244255367571964
2015-06-30,1.296535998454386
2015-07-31,1.362771034933584
2015-08-31,1.426415005166765
2015-09-30,1.461755496096994
2015-10-30,1.5195855775107348
2015-11-30,1.4980163700872584
2015-12-31,1.5772494528899472
2016-01-29,1.691929919606071
2016-02-29,1.7031777743435588
2016-03-31,1.7916267475485728
2016-04-29,1.7208664762396433
2016-05-31,1.7429659988084398
2016-06-30,1.8690680275396445
2016-07-29,1.8335824650520225
2016-08-31,1.7435261925862566
2016-09-30,1.7104207842430896
2016-10-31,1.6728897461898435
2016-11-30,1.5483879562078615
2016-12-30,1.581755782611016
2017-01-31,1.5790862165466086
2017-02-28,1.6297486384782178
2017-03-31,1.6401213604086202
2017-04-28,1.6632636040631623
2017-05-31,1.7159588640067382
2017-06-30,1.6763320864878388
2017-07-31,1.679776735538065
2017-08-31,1.7200703030930868
2017-09-29,1.6532465097310862
2017-10-31,1.6777835165538444
2017-11-30,1.7156086747948138
2017-12-29,1.664799152299609
2018-01-31,1.641986016499022
2018-02-28,1.612014775959172
2018-03-29,1.6564553280166636
2018-04-30,1.6607338303077084
2018-05-31,1.6171931865510183
2018-06-29,1.675999258592635
2018-07-31,1.6873341250260596
2018-08-31,1.7163487488960625
2018-09-28,1.7141825804451758
2018-10-31,1.819537099794558
2018-11-30,1.8650740565924215
2018-12-31,1.867994506260675
2019-01-31,1.8208798921794
2019-02-28,1.8166022909198738
2019-03-29,1.8765813896116765
2019-04-30,1.8318658250362698
2019-05-31,1.9576923608916048
2019-06-28,1.8898376852986336
2019-07-31,1.9101302711923935
2019-08-30,2.059024761392095
2019-10-31,1.9530757093157294
2019-11-29,1.879499361168041
2019-12-31,1.856775779843494
