Date,TSX
2012-01-01,1.0
2012-01-31,0.9529008164437852
2012-02-29,0.9584975797749287
2012-04-30,0.9933007903243752
2012-05-31,1.072384534418347
2012-06-29,1.3292901030105735
2012-07-31,1.3427935892818643
2012-08-31,1.3119228800888663
2012-09-28,1.2922017737520177
2012-10-31,1.3153170049804843
2012-11-30,1.357155918182714
2012-12-31,1.3538486627508843
2013-01-31,1.360874669667752
2013-02-28,1.392345263029637
2013-03-28,1.413077895262392
2013-04-30,1.4712250721443254
2013-05-31,1.4781145355342453
2013-06-28,1.5120470134286759
2013-07-31,1.4832970876458362
2013-08-30,1.4569343555563676
2013-09-30,1.5174900627632881
2013-10-31,1.341513380630655
2013-11-29,1.4156016327994456
2013-12-31,1.4019357828360188
2014-01-31,1.3335603876248083
2014-02-28,1.2826969025380865
2014-03-31,1.3233613706698786
2014-04-30,1.490408666891666
2014-05-30,1.553903313524397
2014-06-30,1.4772604704745247
2014-07-31,1.4909205583451148
2014-08-29,1.508675059573084
2014-09-30,1.588826871588692
2014-10-31,1.6931596527213872
2014-11-28,1.720881519864486
2014-12-31,1.7326753401266366
2015-01-30,1.7319705195826378
2015-02-27,1.7637704643969891
2015-03-31,1.8086133604444536
2015-04-30,1.73683294499289
2015-05-29,1.7682404944459422
2015-06-30,1.8017640685320975
2015-07-31,1.9383222758152112
2015-08-31,1.9098723755719371
2015-09-30,1.9883415636075608
2015-10-30,1.9585967186081608
2015-11-30,2.047396798944124
2015-12-31,2.0792676300978292
2016-01-29,2.091800053233273
2016-02-29,1.8594106917855786
2016-03-31,1.771585624965202
2016-04-29,1.5802182810757621
2016-05-31,1.667302769653842
2016-06-30,1.569637436512046
2016-07-29,1.571521882619935
2016-08-31,1.612488818349745
2016-09-30,1.5990683468685274
2016-10-31,1.6098761109708333
2016-11-30,1.5867737496342054
2017-01-31,1.5527876103145626
2017-02-28,1.5841633030262472
2017-03-31,1.6224610422489283
2017-04-28,1.6755779147082346
2017-05-31,1.7087799090382942
2017-06-30,1.7036322351890831
2017-07-31,1.6808777689714323
2017-08-31,1.6962420431159677
2017-09-29,1.6837605201209986
2017-10-31,1.7153754799136747
2017-11-30,1.729006071507881
2017-12-29,1.7066166837372958
2018-01-31,1.7492233529086552
2018-02-28,1.7695850198076204
2018-03-29,1.774260045539386
2018-04-30,1.7055646471549006
2018-05-31,1.6984018402799574
2018-06-29,1.7108756376686973
2018-07-31,1.6961057396532107
2018-08-31,1.7159028895694806
2018-09-28,1.7047173118667474
2018-10-31,1.754759723419026
2018-11-30,1.8194593068796274
2018-12-31,1.8647666002527974
2019-01-31,1.7825722534601305
2019-02-28,1.7594528096414328
2019-03-29,1.7955231884626872
2019-04-30,1.7737827980675216
2019-05-31,1.830542701129842
2019-06-28,1.8411908609728336
2019-07-31,1.862964880921705
2019-08-30,1.9187029827080604
2019-09-30,1.8882269738572037
2019-10-31,1.9437702681899092
2019-11-29,1.941741806783421
2019-12-31,1.8562394432329463
