Date,SP500
2012-01-01,1.0
2012-01-31,0.9269653825922053
2012-02-29,0.9059151918422527
2012-03-30,0.9079964168280947
2012-04-30,0.9185749165461905
2012-05-31,0.968472121987325
2012-06-29,0.9820313533741424
2012-07-31,0.9792150707075964
2012-08-31,0.9526862518368597
2012-09-28,0.9508452746877138
2012-10-31,0.9497291626113071
2012-11-30,0.9374680897331061
2012-12-31,0.9096039960455042
2013-01-31,0.8873354200113627
2013-02-28,0.9024753716386382
2013-03-28,0.9113033806619493
2013-04-30,0.9203665620915233
2013-05-31,0.8763763864465564
2013-06-28,0.8876343128424199
2013-07-31,0.8710322382678778
2013-08-30,0.8591655468376334
2013-09-30,0.8413541657940755
2013-10-31,0.8504879995312388
2013-11-29,0.8406927602514435
2013-12-31,0.8238893195667895
2014-01-31,0.8222279585935328
2014-02-28,0.8178878824381173
2014-03-31,0.8208921936267285
2014-04-30,0.8295807018304767
2014-05-30,0.8258247262898468
2014-06-30,0.8136372719924265
2014-07-31,0.8092486150881306
2014-08-29,0.8132331731804366
2014-09-30,0.8250536280741495
2014-10-31,0.8401838606724072
2014-11-28,0.8294099776070284
2014-12-31,0.8316736675448603
2015-01-30,0.8623505254795452
2015-02-27,0.8294497329141322
2015-03-31,0.8439743376844338
2015-04-30,0.8220463808166677
2015-05-29,0.8289618869638282
2015-06-30,0.8492320182194948
2015-07-31,0.884930343329571
2015-08-31,0.9108307264271985
2015-09-30,0.9373990876804018
2015-10-30,0.9222659343044397
2015-11-30,0.9139076199808689
2015-12-31,0.9526286264263641
2016-01-29,1.0124641329375406
2016-02-29,1.0145011204827155
2016-03-31,1.0007351593382312
2016-04-29,0.9705311000925402
2016-05-31,0.9738264276302037
2016-06-30,1.026607076617713
2016-07-29,0.9940509528848925
2016-08-31,0.9616062237077234
2016-09-30,0.9451249530474715
2016-10-31,0.9305565474667455
2016-11-30,0.8681084196014938
2016-12-30,0.8750627308317279
2017-01-31,0.8653307864181353
2017-02-28,0.8738588508858817
2017-03-31,0.8777951078949595
2017-04-28,0.8856203513796941
2017-05-31,0.9036283023236781
2017-06-30,0.8812857068062926
2017-07-31,0.8828742598852343
2017-08-31,0.9041541039029545
2017-09-29,0.8674403501731621
2017-10-31,0.8727140965809165
2017-11-30,0.8769872521603048
2017-12-29,0.8502105612439743
2018-01-31,0.8307388404534447
2018-02-28,0.8303476031157171
2018-03-29,0.8503723321496655
2018-04-30,0.8512992043527413
2018-05-31,0.8320164631072688
2018-06-29,0.8511168820545969
2018-07-31,0.8475193981700873
2018-08-31,0.8524614242639259
2018-09-28,0.8543595926662568
2018-10-31,0.9024698239811371
2018-11-30,0.9083755593239279
2018-12-31,0.9352137159383151
2019-01-31,0.8955239074251167
2019-02-28,0.8845644378398103
2019-03-29,0.8987269757520583
2019-04-30,0.8786191713391295
2019-05-31,0.9365678107488518
2019-06-28,0.8896908725363938
2019-07-31,0.8933634452814759
2019-08-30,0.9430855331135372
2019-10-31,0.9058585073684938
2019-11-29,0.8741806796528746
2019-12-31,0.8584771646901306
