Date,TSX
2012-01-01,1.0
2012-01-31,0.9624913934101256
2012-02-29,0.9884561653940774
2012-04-30,1.0311557274130623
2012-05-31,1.1059474057266117
2012-06-29,1.9948466030964909
2012-07-31,2.022738092346642
2012-08-31,1.9891047873286478
2012-09-28,2.0165528331661062
2012-10-31,2.054234013101506
2012-11-30,2.1370622946548132
2012-12-31,2.1727183973603923
2013-01-31,2.2348072419348157
2013-02-28,2.2853253739492736
2013-03-28,2.328088862516771
2013-04-30,2.4079316255380387
2013-05-31,2.393222321794847
2013-06-28,2.3773014012545173
2013-07-31,2.3679721251650343
2013-08-30,2.33785024407876
2013-09-30,2.5031482700287393
2013-10-31,2.297445845119089
2013-11-29,2.4853037050524454
2013-12-31,2.4614454132761994
2014-01-31,2.4352779432036034
2014-02-28,2.408226217139881
2014-03-31,2.515359276063245
2014-04-30,4.14335148127
2014-05-30,4.427606626774132
2014-06-30,4.2022547955714105
2014-07-31,4.26259804444522
2014-08-29,4.381126634537191
2014-09-30,4.669987709629082
2014-10-31,4.970426265080256
2014-11-28,5.138998801283791
2014-12-31,5.435595260005658
2015-01-30,5.616425531245251
2015-02-27,5.861616764997589
2015-03-31,6.033650625029207
2015-04-30,5.644483114258407
2015-05-29,5.87136999433799
2015-06-30,6.02652106493961
2015-07-31,6.6276638720620795
2015-08-31,6.352680992266994
2015-09-30,6.498922019459346
2015-10-30,6.532294707996864
2015-11-30,6.88339687880659
2015-12-31,7.050179952541095
2016-01-29,6.886506311273258
2016-02-29,6.104698373036462
2016-03-31,5.879437872274759
2016-04-29,5.259424720568885
2016-05-31,5.594391766410709
2016-06-30,5.389468003802989
2016-07-29,5.574624565267213
2016-08-31,5.78074240743015
2016-09-30,5.8447030562751845
2016-10-31,5.912938789109615
2016-11-30,5.8622119058080715
2017-01-31,5.763736720175931
2017-02-28,6.053197061155658
2017-03-31,6.2091432749704705
2017-04-28,6.536466779722106
2017-05-31,6.629750865593565
2017-06-30,6.491893269452382
2017-07-31,6.339966097405014
2017-08-31,6.476460484914442
2017-09-29,6.5980745889848675
2017-10-31,6.889075997177935
2017-11-30,7.052776139746855
2017-12-29,7.058058683065854
2018-01-31,7.3349814116215555
2018-02-28,7.404062584042722
2018-03-29,7.344612763111982
2018-04-30,7.024420049324266
2018-05-31,7.011384629919706
2018-06-29,7.079293451051347
2018-07-31,7.02898068226847
2018-08-31,7.0970114585691295
2018-09-28,6.938956612342073
2018-10-31,7.0418661774195535
2018-11-30,7.312736036810976
2018-12-31,7.317070417735222
2019-01-31,7.110054706227289
2019-02-28,7.087355859479283
2019-03-29,7.384686445236791
2019-04-30,7.309627845006667
2019-05-31,7.4907127164231015
2019-06-28,7.5997670618709545
2019-07-31,7.706178358089831
2019-08-30,7.982125877349708
2019-09-30,7.803970068583666
2019-10-31,8.046596430674954
2019-11-29,7.997926743167599
2019-12-31,7.634433453393627
