Date,SP500
2012-02-01,1.0
2012-02-29,0.9818322247054376
2012-03-30,0.9912879116822095
2012-04-30,1.0043450095323243
2012-05-31,1.0527109394882046
2012-06-29,1.0718781183498285
2012-07-31,1.0715761258748822
2012-08-31,1.046532373614671
2012-09-28,1.0471764994567951
2012-10-31,1.0459152032930632
2012-11-30,1.037394523443417
2012-12-31,1.0152267900716387
2013-01-31,1.0123602364154947
2013-02-28,1.0314284593903698
2013-03-28,1.0517658241392205
2013-04-30,1.0673551811421085
2013-05-31,1.0273482718648397
2013-06-28,1.0377167485009264
2013-07-31,1.0400087113266479
2013-08-30,1.0163921807307954
2013-09-30,1.0111458896797765
2013-10-31,1.0331903569539385
2013-11-29,1.0259899928340055
2013-12-31,1.0160253046339738
2014-01-31,1.0093626657077899
2014-02-28,1.01764503236135
2014-03-31,1.0224342773521897
2014-04-30,1.0308908810660382
2014-05-30,1.0344781332506645
2014-06-30,1.0253250286359463
2014-07-31,1.0172040364695938
2014-08-29,1.03413342424392
2014-09-30,1.041306893803622
2014-10-31,1.0667924219408633
2014-11-28,1.052198678848935
2014-12-31,1.0587694415405235
2015-01-30,1.088005514651053
2015-02-27,1.0666721471998883
2015-03-31,1.0832690127598155
2015-04-30,1.0532865763763322
2015-05-29,1.0706669028763478
2015-06-30,1.09357224191694
2015-07-31,1.1495600569805284
2015-08-31,1.1694645981677183
2015-09-30,1.2036953369638836
2015-10-30,1.1992168942567372
2015-11-30,1.1869276068779562
2015-12-31,1.2367636885218316
2016-01-29,1.3076279639459318
2016-02-29,1.313176068024148
2016-03-31,1.3107220259243724
2016-04-29,1.2627814938213249
2016-05-31,1.2732923584330509
2016-06-30,1.3364611490122775
2016-07-29,1.3121477264978907
2016-08-31,1.2692685295516029
2016-09-30,1.2469319976448254
2016-10-31,1.22193239250121
2016-11-30,1.1461989707142373
2016-12-30,1.1549245238606054
2017-01-31,1.1526945551629215
2017-02-28,1.1777620708635714
2017-03-31,1.18462908956454
2017-04-28,1.2018915467061178
2017-05-31,1.2330494521428241
2017-06-30,1.2115459939288864
2017-07-31,1.2155250063278067
2017-08-31,1.2406691326133747
2017-09-29,1.20288795457107
2017-10-31,1.2194409735403475
2017-11-30,1.2461854400902634
2017-12-29,1.2170572086642737
2018-01-31,1.2180110361918903
2018-02-28,1.2002314836265895
2018-03-29,1.2219350112400051
2018-04-30,1.2252185157494717
2018-05-31,1.1955551233369006
2018-06-29,1.2241733010116609
2018-07-31,1.2270581225612842
2018-08-31,1.2407404833680657
2018-09-28,1.2442432836126969
2018-10-31,1.3069620449509736
2018-11-30,1.3196423462311335
2018-12-31,1.346019418132952
2019-01-31,1.287228301686598
2019-02-28,1.2705798653202716
2019-03-29,1.2924847516883196
2019-04-30,1.2622054737107928
2019-05-31,1.3462991133042739
2019-06-28,1.2884015343644424
2019-07-31,1.2977564802903374
2019-08-30,1.3711164508239908
2019-10-31,1.306807939270441
2019-11-29,1.2664103240230837
2019-12-31,1.2394041093378931
